characterId,캐릭터명,캐릭터 생성 날짜,최고 레벨 달성 날짜,전직명,직업명,전/후,성장속도,성공여부
beb423f682f040cf94d3f206f25e25d2,뜨면함,2023-07-16,2023-07-16,총검사,眞 요원,후,1.0,성공
238fc324cec10c22973fdcb19b3df905,민시라핌,2023-07-18,2023-07-18,프리스트(여),眞 크루세이더,후,1.0,성공
d5d0c19205cdbb3330c804ccbe2ee9ca,AllMite,2023-07-15,2023-07-16,프리스트(남),眞 인파이터,후,2.0,실패
aa0fc052694fba0e66d84b3e5cb01d46,물마시는Jun,2023-07-09,2023-07-10,아처,眞 트래블러,후,2.0,실패
30df4499bed4731262ecc16055cf2cfc,셰릭,2023-07-04,2023-07-05,총검사,眞 요원,후,2.0,실패
06f7f12c0a5e0a568e92173eacb73eeb,서기기옹,2023-07-16,2023-07-16,마법사(여),眞 인챈트리스,후,1.0,성공
7a6998c8f805a401c283de5627463af7,백커의왕,2023-07-08,2023-07-08,귀검사(남),眞 소울브링어,후,1.0,성공
69e9b1a58785cb0fa44e70ff1df5ad6b,01:하악,2023-07-07,2023-07-09,귀검사(여),眞 데몬슬레이어,후,3.0,실패
5c1707b6ab8dd4ea33af1fff18a3c210,foxhead,2023-07-13,2023-07-13,아처,眞 트래블러,후,1.0,성공
64b2d9f2f9b6287de506559045d8a37b,곰랜서,2023-07-06,2023-07-08,마창사,眞 다크 랜서,후,3.0,실패
f1c8747171191456a2284b0e7fa6143a,볘드,2023-07-17,2023-07-18,귀검사(여),眞 베가본드,후,2.0,실패
e145360905e3e79cbb43605bd5283391,gb-00,2023-05-23,2023-05-23,아처,眞 뮤즈,전,1.0,성공
cdd754366ebb22e768bbe09ec8891aa4,블레이드_S2,2023-07-11,2023-07-11,귀검사(여),眞 블레이드,후,1.0,성공
646f39fce57b314df8224ca545057ec8,독룡이,2023-07-11,2023-07-18,격투가(여),眞 스트리트파이터,후,8.0,실패
42b2bbd9adc500f9b2b3cb72b0086612,@@tlsrlgus58,2023-07-08,2023-07-09,마창사,眞 다크 랜서,후,2.0,실패
0ca26fd235bf1f2513baa29561d5fcb9,로드아이28,2023-06-29,2023-06-29,마법사(여),眞 소환사,후,1.0,성공
85070980bd6c5256c459eb03f40742cf,메론소녀~^^*,2023-07-03,2023-07-08,마법사(여),眞 인챈트리스,후,6.0,실패
d61fcc26d07a79126b057483ffa88442,멘헤라온나,2023-07-16,2023-07-17,도적,眞 사령술사,후,2.0,실패
3342e95815117fc0e5d5f061653d22c9,뮤즈(23세),2023-07-09,2023-07-09,아처,眞 뮤즈,후,1.0,성공
70d27582f99b7b65dd447d2be682072d,방학숙제2호,2023-07-14,2023-07-14,프리스트(여),眞 크루세이더,후,1.0,성공
e5efd70ab027bb07ca43d18fcb289f94,방학숙제1번,2023-07-14,2023-07-14,아처,眞 트래블러,후,1.0,성공
