serverId,characterId,characterName,level,jobId,jobGrowId,jobName,jobGrowName
cain,31981ee2213a4a254bf2321f890c0895,웨펀티거,43,41f1cdc2ff58bb5fdc287be0db2a8df3,df3870efe8e8754011cd12fa03cd275f,귀검사(남),웨펀마스터
cain,c641df949ea0ae2cebbec1db6d0529af,양손막기,110,1645c45aabb008c98406b3a16447040d,92da05ec93fb43406e193ffb9a2a629b,귀검사(여),眞 블레이드
cain,c3bb842515f763cdc90f814dec744045,루나버퍼,110,0c1b401bb09241570d364420b3ba3fd7,37495b941da3b1661bc900e68ef3b2c6,프리스트(여),眞 크루세이더
cain,d340f1d0b61034de356a15f3bddd126a,파옵,100,3909d0b188e9c95311399f776e331da5,faf8fc6f0cd4c0f84f0035e23bd4fa19,마법사(여),트릭스터
cain,c02601e2f33444b2130f9f3666b9475e,眞:트래드머,110,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러
cain,d054b122271748d825e3bb1b1315412f,헬버릭,110,f6a4ad30555b99b499c07835f87ce522,37495b941da3b1661bc900e68ef3b2c6,프리스트(남),眞 크루세이더
cain,df1a2acd593d7cf83d2e540dfd19ccc1,칭챙총챙이,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,37495b941da3b1661bc900e68ef3b2c6,총검사,眞 히트맨
cain,3b4c6bc4be990faf32dd3c3e99ca9630,월아뮤즈,110,b9cb48777665de22c006fabaf9a560b3,37495b941da3b1661bc900e68ef3b2c6,아처,眞 뮤즈
cain,0d1793343951d96b9a3c395636d886e1,개구리탕수육,110,1645c45aabb008c98406b3a16447040d,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(여),眞 베가본드
cain,87da52136f3446cd841a17e45d66655c,P메카닉,110,afdf3b989339de478e85b614d274d1ef,6d459bc74ba73ee4fe5cdc4655400193,거너(남),眞 메카닉
cain,21fe28f4bcd86d2fb784b31d5e191212,정병발,110,a7a059ebe9e6054c0644b40ef316d6e9,6d459bc74ba73ee4fe5cdc4655400193,격투가(여),眞 스트리트파이터
cain,ffb9dce8f6b68383245b1d18cb46a5bf,공깜,110,afdf3b989339de478e85b614d274d1ef,618326026de1a1f1cfba5dbd0b8396e7,거너(남),眞 런처
cain,70e052c046802c3755282ec88cbace4c,U런처,78,afdf3b989339de478e85b614d274d1ef,981d675414f83b926db5f54e5347eec0,거너(남),블래스터
cain,a998d3fe9ea7822306eab78a798d82b2,스파,31,944b9aab492c15a8474f96947ceeb9e4,4a1459a4fa3c7f59b6da2e43382ed0b9,거너(여),스핏파이어
cain,8c73e1673b9d17007a5cf0fcbb948005,천궄,110,17e417b31686389eebff6d754c3401ea,0a49d9c8b5e1358efff324e5cb11d41e,다크나이트,眞 다크나이트
cain,a87a239d7d134398b0d4a9579810d913,구라요원,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,618326026de1a1f1cfba5dbd0b8396e7,총검사,眞 요원
casillas,d93bd59ba94e2efd84f9f7ecc91a1c19,메인님,110,0c1b401bb09241570d364420b3ba3fd7,37495b941da3b1661bc900e68ef3b2c6,프리스트(여),眞 크루세이더
casillas,21387b1b066009bb0e4b6e19e346d9d4,나비꽃,110,944b9aab492c15a8474f96947ceeb9e4,37495b941da3b1661bc900e68ef3b2c6,거너(여),眞 레인저
bakal,d6b83655428b887d14ea41fe5a26d579,요눈,110,986c2b3d72ee0e4a0b7fcfbe786d4e02,618326026de1a1f1cfba5dbd0b8396e7,총검사,眞 요원
siroco,6b51b243f41d90efd98744b4efbad4ae,자수체험,110,41f1cdc2ff58bb5fdc287be0db2a8df3,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(남),眞 아수라
hilder,0fe59e17ad3a6333b6e0abfe9620cc3b,한효주,110,a7a059ebe9e6054c0644b40ef316d6e9,6d459bc74ba73ee4fe5cdc4655400193,격투가(여),眞 스트리트파이터
prey,d0eb6d6fb2bb8965d8fa43f9fbe5263b,짤랑이,110,3909d0b188e9c95311399f776e331da5,92da05ec93fb43406e193ffb9a2a629b,마법사(여),眞 인챈트리스
cain,bd8891e5cae91689283c39fc15530541,애로(배)우,110,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러
cain,6a4358132a4fd9b64354a2ebc5ccf392,쿠궁소마,110,1645c45aabb008c98406b3a16447040d,37495b941da3b1661bc900e68ef3b2c6,귀검사(여),眞 소드마스터
cain,ce4f829c9cc786d9f826e75dfc4b0aee,미라보,110,0c1b401bb09241570d364420b3ba3fd7,6d459bc74ba73ee4fe5cdc4655400193,프리스트(여),眞 무녀
cain,3e777499db934538ebf54d35cced08fe,K.U.O,110,ddc49e9ad1ff72a00b53c6cff5b1e920,c9b492038ee3ca8d27d7004cf58d59f3,도적,眞 섀도우댄서
cain,5e1a63da7de0a990c765346f18026d25,자깅,65,a5ccbaf5538981c6ef99b236c0a60b73,4ec01f4ae3728c080f28a72213b6df10,마법사(남),워록
cain,dd98654d5fa1e41c2c2ceebd415962e5,둉띠기방댕이,110,41f1cdc2ff58bb5fdc287be0db2a8df3,37495b941da3b1661bc900e68ef3b2c6,귀검사(남),眞 웨펀마스터
cain,d7406ff4c087c81eed8021f54d149249,오나의규슈이,69,b9cb48777665de22c006fabaf9a560b3,981d675414f83b926db5f54e5347eec0,아처,드리머
cain,ecb78649ff1771af77afade39900389f,솔이나1,110,afdf3b989339de478e85b614d274d1ef,37495b941da3b1661bc900e68ef3b2c6,거너(남),眞 레인저
cain,814fa25256ded5ab7e8190adf022b02f,로제파스타,95,944b9aab492c15a8474f96947ceeb9e4,8022a99e29b5e4845985fe1d79a233f3,거너(여),스톰트루퍼
cain,52bcfc6ec6a35808c9cc53b331943857,장미오락실,110,ca0f0e0e9e1d55b5f9955b03d9dd213c,618326026de1a1f1cfba5dbd0b8396e7,격투가(남),眞 스트라이커
cain,373ab470758a703e1595fe65820fed53,산호보초,110,afdf3b989339de478e85b614d274d1ef,6d459bc74ba73ee4fe5cdc4655400193,거너(남),眞 메카닉
cain,9d0cd19510c24db1f36877a51953773b,고블린전사,110,41f1cdc2ff58bb5fdc287be0db2a8df3,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(남),眞 아수라
cain,c71c9d2173444c64826363dce714d910,뒷골목의온유,110,a7a059ebe9e6054c0644b40ef316d6e9,6d459bc74ba73ee4fe5cdc4655400193,격투가(여),眞 스트리트파이터
cain,36e38cbe522635cfbfdccf7d18d55f7b,달콤하쥬,110,f6a4ad30555b99b499c07835f87ce522,37495b941da3b1661bc900e68ef3b2c6,프리스트(남),眞 크루세이더
cain,0314537d478253de6491c567820d7742,공방저격수,100,a5ccbaf5538981c6ef99b236c0a60b73,6d459bc74ba73ee4fe5cdc4655400193,마법사(남),眞 블러드 메이지
cain,af81888f92d2e6de025f41b3307260eb,소환사의난,110,3909d0b188e9c95311399f776e331da5,618326026de1a1f1cfba5dbd0b8396e7,마법사(여),眞 소환사
cain,dedf05258c4b1e6febd4442cf0037110,씅검죄,110,1645c45aabb008c98406b3a16447040d,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(여),眞 베가본드
